"","country","year","GDP","Age_dep_ratio","high_inc","cut_variable"
"1","Arab World",2020,6043.96440170898,61.019962983148,0,"[0,1e+04]"
"2","World",2020,10565.4988744147,54.5686721177853,0,"(1e+04,2e+04]"
"3","East Asia & Pacific (excluding high income)",2020,6881.0158133043,44.1273746233693,0,"[0,1e+04]"
"4","Europe & Central Asia (excluding high income)",2020,9633.9846965989,51.2433411720874,0,"[0,1e+04]"
"5","South Asia",2020,1785.23216504522,51.1677947602784,0,"[0,1e+04]"
"6","Andorra",2020,40402.5398367679,NA,1,"(4e+04,5e+04]"
"7","Afghanistan",2020,549.391787084908,80.0882594983951,0,"[0,1e+04]"
"8","Antigua and Barbuda",2020,12870.1868119838,45.3131723820688,0,"(1e+04,2e+04]"
"9","Albania",2020,5064.06191586953,46.9301086542868,0,"[0,1e+04]"
"10","Armenia",2020,4364.31221201217,48.4455278492478,0,"[0,1e+04]"
"11","Angola",2020,2890.89289718216,94.5026723334307,0,"[0,1e+04]"
"12","Argentina",2020,8692.70804630198,55.7676610064414,0,"[0,1e+04]"
"13","Austria",2020,47008.7104329678,50.6391077341454,1,"(4e+04,5e+04]"
"14","Australia",2020,56307.2806848652,55.0519405364956,1,"(5e+04,6e+04]"
"15","Azerbaijan",2020,5593.22452252542,43.3833864668342,0,"[0,1e+04]"
"16","Central Europe and the Baltics",2020,16333.7224884301,53.164099495085,1,"(1e+04,2e+04]"
"17","Bosnia and Herzegovina",2020,6077.04356457794,48.012700669862,0,"[0,1e+04]"
"18","Barbados",2020,13249.4232194619,50.2910427856429,0,"(1e+04,2e+04]"
"19","Bangladesh",2020,1305.25933193765,47.0189228497614,0,"[0,1e+04]"
"20","Belgium",2020,44361.2483648185,56.9568109236318,1,"(4e+04,5e+04]"
"21","Burkina Faso",2020,815.480855632121,87.90397401327,0,"[0,1e+04]"
"22","Bulgaria",2020,8743.21699223087,56.6106762125801,0,"[0,1e+04]"
"23","Bahrain",2020,19018.554449692,26.4758458756293,1,"(1e+04,2e+04]"
"24","Burundi",2020,202.372052445493,90.9565298106282,0,"[0,1e+04]"
"25","Benin",2020,1273.5413171047,82.5585151246424,0,"[0,1e+04]"
"26","Brunei Darussalam",2020,32402.365659982,38.6849304646363,1,"(3e+04,4e+04]"
"27","Bolivia",2020,2345.48479359273,60.4882884948895,0,"[0,1e+04]"
"28","Brazil",2020,10672.1777388753,43.4750564079061,0,"(1e+04,2e+04]"
"29","Bahamas, The",2020,23971.1079949469,41.5416510697112,1,"(2e+04,3e+04]"
"30","Bhutan",2020,3007.69828073077,45.1361523717805,0,"[0,1e+04]"
"31","Botswana",2020,7306.50245849385,61.0718603273321,0,"[0,1e+04]"
"32","Belarus",2020,6677.99892589229,48.8550471856414,0,"[0,1e+04]"
"33","Belize",2020,3582.9781813196,51.9940520559779,0,"[0,1e+04]"
"34","Canada",2020,48617.0878945341,51.2392868697424,1,"(4e+04,5e+04]"
"35","Congo, Dem. Rep.",2020,413.709040341229,95.3653844752744,0,"[0,1e+04]"
"36","Central African Republic",2020,377.527368686071,86.3580765672014,0,"[0,1e+04]"
"37","Congo, Rep.",2020,2049.41786354009,78.676752009999,0,"[0,1e+04]"
"38","Switzerland",2020,80132.425588101,51.6442103414977,1,NA
"39","Cote d'Ivoire",2020,1714.54069898774,79.8271405942074,0,"[0,1e+04]"
"40","Chile",2020,14050.1761838708,45.9457476511397,0,"(1e+04,2e+04]"
